Unnamed: 0,Наименование ДП,"Макс. ПДЗ за 2019 год, дней","Сред. ПДЗ за 2019 год, дней","Кол-во просрочек свыше 5-ти дней за 2019 год, шт.","Общая сумма ПДЗ свыше 5-ти дней за 2019 год, руб.","Кол-во раз ПДЗ за 2019 год, шт.","2016, Нематериальные активы, RUB","2017, Нематериальные активы, RUB","2018, Нематериальные активы, RUB","2016, Основные средства , RUB","2017, Основные средства , RUB","2018, Основные средства , RUB","2016, Внеоборотные активы, RUB","2017, Внеоборотные активы, RUB","2018, Внеоборотные активы, RUB","2016, Дебиторская задолженность, RUB","2017, Дебиторская задолженность, RUB","2018, Дебиторская задолженность, RUB","2016, Оборотные активы, RUB","2017, Оборотные активы, RUB","2018, Оборотные активы, RUB","2016, Уставный капитал , RUB","2017, Уставный капитал , RUB","2018, Уставный капитал , RUB","2016, Капитал и резервы, RUB","2017, Капитал и резервы, RUB","2018, Капитал и резервы, RUB","2016, Заёмные средства (долгосрочные), RUB","2017, Заёмные средства (долгосрочные), RUB","2018, Заёмные средства (долгосрочные), RUB","2016, Долгосрочные обязательства, RUB","2017, Долгосрочные обязательства, RUB","2018, Долгосрочные обязательства, RUB","2016, Заёмные средства (краткосрочные), RUB","2017, Заёмные средства (краткосрочные), RUB","2018, Заёмные средства (краткосрочные), RUB","2016, Кредиторская задолженность, RUB","2017, Кредиторская задолженность, RUB","2018, Кредиторская задолженность, RUB","2016, Краткосрочные обязательства, RUB","2017, Краткосрочные обязательства, RUB","2018, Краткосрочные обязательства, RUB","2016, Выручка, RUB","2017, Выручка, RUB","2018, Выручка, RUB","2016, Себестоимость продаж, RUB","2017, Себестоимость продаж, RUB","2018, Себестоимость продаж, RUB","2016, Прибыль (убыток) до налогообложения , RUB","2017, Прибыль (убыток) до налогообложения , RUB","2018, Прибыль (убыток) до налогообложения , RUB","2016, Прибыль (убыток) от продажи, RUB","2017, Прибыль (убыток) от продажи, RUB","2018, Прибыль (убыток) от продажи, RUB"
10,10,77,17.92857142857143,55,57508679.15923566,56,40617197.4522293,67357324.84076433,112451592.3566879,55047177707.00637,57665553503.18471,63105257961.78344,202659293630.5732,190506982802.5478,186463100636.9426,17311860509.55414,21012832484.07643,24092142675.15924,82835357324.84076,84908889171.97452,62349766242.03822,5335668.789808917,5335668.789808917,5335668.789808917,92676177707.00636,116866968789.8089,112583657961.7834,114844026114.6497,69194505095.5414,88849105095.5414,121213183439.4904,75275508917.19745,95423433121.0191,45149244585.98726,57605502547.7707,13606219108.28025,24577015286.6242,23874052866.24204,25141844585.98726,71605289808.91719,83273394267.51591,40805775796.17834,194462620382.1656,229000263694.2675,275651303821.6561,134012985987.2611,166391112101.9108,189451666242.0382,67848528662.42038,93019263057.32484,88172105732.48407,43231555414.01273,44117101910.82803,64321452866.24204
11,11,28,4.7890625,74,56027486.80891721,256,0.0,0.0,0.0,100513375.7961783,101701910.8280255,96886624.20382166,115938853.5031847,116789171.9745223,116119745.2229299,54693630.57324841,58904458.59872611,43500636.94267516,182306369.4267516,187145222.9299363,194750955.4140128,22292.99363057325,22292.99363057325,22292.99363057325,86824203.82165605,86266242.03821656,66761783.43949044,41273885.35031847,28216560.50955414,15222929.93630573,42610828.02547771,30149681.52866242,17129936.30573248,131385350.3184713,151992993.6305732,188929299.3630573,35564968.15286624,33636305.73248407,36165605.0955414,168810191.0828025,187518471.3375796,226978980.8917197,579645222.9299363,768180891.7197452,676472611.4649681,490153503.1847134,682882802.5477706,615086624.2038217,7221019.108280255,507643.3121019108,-23676433.1210191,33307006.36942675,24549044.58598726,3742038.21656051
12,12,88,8.117647058823529,14,4074008.649681529,34,0.0,0.0,0.0,67622929.93630573,62559872.61146496,58159235.66878981,96049681.5286624,75084713.37579617,58635031.84713376,150803821.656051,165670700.6369427,218949681.5286624,267912101.910828,402307643.3121019,400156687.8980892,720382.1656050956,720382.1656050956,720382.1656050956,177713375.7961783,180581528.6624204,182270700.6369427,41325477.70700637,51668789.8089172,26114649.68152866,41712738.85350318,52056050.95541401,26501910.82802548,44909554.14012738,37503184.71337579,66878980.89171974,99626114.64968152,207251592.3566879,183140127.3885351,144535668.7898089,244754777.0700637,250019108.2802548,530453503.1847134,599661783.4394904,694632484.0764331,513868152.866242,582274522.2929937,669937579.6178343,3811464.968152866,4598089.171974522,6168152.866242038,16585350.31847134,17387261.14649681,24694904.45859873
13,13,14,4.125,3,525143.3630573248,8,0.0,0.0,0.0,168522292.9936306,160982165.6050955,213025477.7070064,5788577707.00637,5795498089.171974,5259647133.757961,2062121656.050956,2698771974.522293,1877126114.649682,4656152229.299363,3917297452.229299,3025082802.547771,170700.6369426752,170700.6369426752,170700.6369426752,1845685987.261146,1974340764.33121,2016145222.929936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7351321656.050955,7136992356.687898,5690907643.312101,8599043949.044586,7738454777.070064,6268584713.375796,995016560.509554,1714094267.515924,1705433121.019108,778989171.9745222,1460926751.592357,1507584076.433121,108722929.9363057,161247770.7006369,54520382.16560509,37798089.17197452,87324203.82165605,29682802.5477707
14,14,3,2.5,0,0.0,2,13375.79617834395,62420.38216560509,106369.4267515924,149160509.5541401,213150955.4140128,188259235.6687898,149173885.3503185,213213375.7961784,188365605.0955414,114508280.2547771,66396815.2866242,202740127.3885351,431359872.611465,386428662.4203821,509375159.2356688,56687.89808917197,396815.2866242038,396815.2866242038,7503821.656050955,15342675.15923567,28919108.28025478,0.0,31847133.75796178,86624203.82165605,0.0,31847133.75796178,86624203.82165605,0.0,5470700.636942675,43819108.28025477,573029299.3630573,546189171.9745222,537719745.22293,573029299.3630573,552452229.299363,582197452.2292993,764801910.8280255,735901273.8853503,924578343.9490446,606207006.3694267,566869426.7515923,701822292.9936305,9884076.433121018,16464331.21019108,17281528.66242038,-432484.076433121,30698726.11464968,27756050.95541401
15,15,0,0.0,0,0.0,0,4458.598726114649,3184.713375796178,2547.770700636942,250407643.3121019,259369426.7515924,373128025.477707,515383439.4904459,527526114.6496815,642540764.3312101,169044585.9872611,216674522.2929936,340383439.4904459,520952229.299363,548629936.3057325,702433121.0191083,3143312.101910828,3143312.101910828,3143312.101910828,271628025.477707,303190445.8598726,324971337.5796178,445859872.611465,501988535.0318471,407107006.3694267,456298726.1146497,512550955.4140127,416980891.7197452,0.0,0.0,227924203.821656,295750318.4713376,255295541.4012739,371597452.2292994,308408917.1974522,260414649.6815286,603021656.0509554,1124592356.687898,1155622929.936306,1166204458.598726,849312738.8535031,902661146.4968152,904256687.8980892,39271974.52229299,41099363.05732484,42890445.85987261,114982165.6050955,123466242.0382166,129052229.299363
16,16,4,2.0,0,0.0,5,0.0,0.0,0.0,44409554.14012738,47219745.22292993,47102547.77070063,49314012.7388535,51989808.91719745,49947770.70063694,67989171.9745223,10715923.56687898,18661146.49681529,154119745.2229299,142394267.5159236,143126114.6496815,20996815.2866242,20996815.2866242,20996815.2866242,85652866.24203822,92896178.34394903,111881528.6624204,0.0,0.0,0.0,8354140.127388535,5902547.770700636,6626751.592356687,0.0,0.0,0.0,106701273.8853503,90117834.39490443,66932484.07643312,109426751.5923567,95585987.26114649,74565605.0955414,170498726.1146497,298355414.0127388,399285987.2611465,160300000.0,240438853.5031847,331794904.4585987,9197452.229299365,27620382.16560509,30610828.02547771,10198726.11464968,22557961.78343949,28552866.24203822
17,17,0,0.0,0,0.0,0,0.0,0.0,0.0,93471974.522293,88704458.59872611,100944585.9872612,99531210.1910828,92905732.48407644,105085350.3184713,144464968.1528662,227656050.955414,232242038.2165605,447635031.8471338,845670700.6369426,853603821.6560509,7850318.471337579,7850318.471337579,7850318.471337579,241333121.0191083,249252229.299363,257490445.8598726,0.0,244904458.5987261,237668789.8089172,2729936.305732484,245892993.6305732,237826114.6496815,108392993.6305732,2287898.089171974,1836942.675159235,186961146.4968153,432296815.2866242,451511464.9681528,303103184.7133758,443431847.133758,463372611.4649681,870029936.3057325,1126967515.923567,1653594904.458599,761676433.1210191,1039514649.681529,1561664331.210191,8768152.866242038,10031210.1910828,10961783.43949044,36947133.75796178,32271337.57961783,36605095.54140128
18,18,1,1.0,0,0.0,1,438853.5031847134,403184.7133757962,406369.4267515923,57715923.56687898,68599363.05732484,82795541.40127388,76944585.98726115,87787898.08917198,138063057.3248408,69178980.89171974,129153503.1847134,127187261.1464968,196871337.5796178,289754777.0700637,311816560.5095541,16279617.8343949,16279617.8343949,16279617.8343949,118407006.3694267,123735668.7898089,129315923.566879,87574522.29299362,180912101.910828,198985350.3184713,87820382.1656051,181601273.8853503,199743312.1019108,266878.9808917197,316560.5095541401,313375.7961783439,67321656.05095541,71889171.9745223,120328025.477707,67588535.03184713,72205732.48407643,120820382.1656051,765759235.6687897,712593630.5732484,683632484.0764331,614875159.2356688,614763057.3248408,590376433.1210191,41878980.89171974,8956050.955414012,9294904.458598724,45029936.30573248,12180254.77707006,16999363.05732484
19,19,0,0.0,0,0.0,0,0.0,0.0,0.0,250624840.7643312,250624840.7643312,195112101.910828,267877707.0063694,267877707.0063694,212864968.1528662,252956687.8980892,252956687.8980892,295180254.77707,1237291719.745223,1237291719.745223,1533670700.636943,59261146.49681529,59261146.49681529,59261146.49681529,1256478343.949044,1256478343.949044,1573436942.675159,0.0,0.0,0.0,19434394.9044586,19434394.9044586,11632484.07643312,0.0,0.0,0.0,220947133.7579618,220947133.7579618,152475796.178344,229256687.8980892,229256687.8980892,161466878.9808917,1165898089.171974,1165898089.171974,1768051592.356688,876206369.4267516,876206369.4267516,1436126751.592357,151808280.2547771,151808280.2547771,123406369.4267516,164647770.7006369,164647770.7006369,148417834.3949045
20,20,10,2.323529411764706,4,2379940.114649681,34,2547.770700636942,1273.885350318471,636.9426751592356,87252229.29936305,80040127.38853502,78512738.85350318,88830573.24840765,81547770.70063694,80104458.59872611,81146496.81528662,61470700.63694267,66347770.70063694,354222292.9936306,359019108.2802548,354992356.6878981,10281528.66242038,10281528.66242038,10281528.66242038,406159872.611465,405315923.566879,398322929.9363057,0.0,0.0,0.0,240127.3885350318,464331.2101910828,410828.025477707,0.0,0.0,0.0,32321656.05095541,29148407.6433121,30474522.29299363,36652866.24203821,34786624.20382165,36363057.32484076,396556050.955414,398401273.8853503,412656050.955414,310721019.1082802,323068789.8089172,352445222.9299363,14237579.6178344,7713375.796178344,2056687.898089172,18617197.4522293,6758598.726114649,-8398726.114649681
21,21,0,0.0,0,0.0,0,108917.1974522293,92356.68789808916,756687.898089172,22368152.86624204,25818471.33757961,33210828.02547771,22545859.87261146,25954777.07006369,33997452.22929936,52289808.91719745,92535668.78980891,290073885.3503184,120671337.5796178,153880891.7197452,490794267.5159236,4408280.25477707,4408280.25477707,4408280.25477707,84496178.34394903,105551592.3566879,284505095.5414013,0.0,0.0,0.0,1601273.885350318,1897452.229299363,2033757.96178344,13835668.78980892,51631210.1910828,62719745.22292993,43284076.43312102,20755414.01273885,175533121.0191083,57119745.22292993,72386624.20382166,238252866.2420382,480526751.5923567,537717197.4522293,1066617197.452229,234621656.0509554,299315286.6242038,478896815.2866242,45539490.44585987,41580891.71974522,239212101.910828,52935668.78980891,40973885.35031847,244385987.2611465
22,22,0,0.0,0,0.0,0,0.0,0.0,0.0,21390445.85987261,20007643.31210191,19044585.98726114,22926114.64968153,21525477.70700637,20354140.12738853,4706369.426751592,4028025.477707006,4205095.541401274,12417197.4522293,8735031.847133758,9931210.191082802,26114.64968152866,26114.64968152866,26114.64968152866,10875796.17834395,6984076.433121019,8089171.974522293,0.0,8331210.191082803,1910828.025477707,657961.7834394904,9008917.197452229,2603184.713375796,7303821.656050955,2329936.305732484,5833121.01910828,16506369.42675159,11936942.67515924,13759235.66878981,23810191.08280255,14267515.92356688,19592356.68789809,69877707.00636943,75361146.49681528,76477707.00636943,10514649.68152866,8706369.426751591,6092356.687898089,2420382.165605095,-3849044.585987261,1524203.821656051,2923566.878980892,-2157961.78343949,2353503.184713376
23,23,0,0.0,0,0.0,0,18441401.27388535,16336305.73248408,16615286.62420382,1848283439.490446,1718245859.872611,1557542038.21656,2558116560.509554,2953694904.458599,2799251592.356688,4677716560.509554,6421311464.968153,6017112101.910828,10223937579.61783,12911405732.48408,16297405732.48408,170904458.5987261,170904458.5987261,170904458.5987261,3788615286.624204,4805094267.515924,4317828662.420382,902004458.598726,756531847.133758,539292356.687898,1579526751.592357,1664096178.343949,1643989808.917198,767987261.1464968,2167207643.312102,3133234394.904459,6539887898.089171,7123972611.464968,9870810828.025476,7413912101.910828,9395910191.082802,13134838853.50318,11544752866.24204,8272190445.859872,8294041401.273885,6858380254.77707,4484455414.012738,5213312101.910828,1920212738.853503,2171510828.025477,1194026751.592357,3123698089.171974,2351700000.0,1405012738.853503
24,24,0,0.0,0,0.0,0,57324.84076433121,122292.9936305732,118471.3375796178,515138216.5605096,536027388.5350319,523979617.8343949,529111464.9681528,549759235.6687897,536939490.4458599,472802547.7707006,489887898.089172,546484713.3757962,1109977707.006369,1226373248.407643,1481211464.968153,818471.3375796179,818471.3375796179,818471.3375796179,987701910.8280256,1054326114.649681,1054331847.133758,0.0,0.0,0.0,39746496.81528662,49418471.33757962,58749681.52866242,222597452.2292994,239466878.9808917,241873885.3503185,373505095.5414013,411628662.4203821,643370700.6369426,611640764.3312101,672387898.089172,905069426.7515924,3481974522.292993,3774565605.095541,3930540127.388535,2871745859.872612,3094824203.821656,3344158598.726115,94914649.68152866,100570700.6369427,21187898.08917197,164752229.299363,157731847.1337579,82966878.98089172
25,25,1,1.0,0,0.0,1,129299.3630573248,116560.5095541401,103821.6560509554,14278422929.93631,14474152866.24204,15295532484.07643,56723940127.38853,88499828025.4777,76652382802.54778,5955252866.242038,4644204458.598726,10251742675.15924,48089782165.60509,17409896815.28662,29287037579.61783,1133757.961783439,1133757.961783439,1133757.961783439,48105114649.68153,54028357961.78344,69778396178.34395,52287850318.47134,47742923566.87898,29198203821.65605,52833295541.40127,48304843312.10191,29730873248.40764,12721019.10828026,25062420.3821656,16894904.45859873,3530138853.503185,3158019745.22293,5722024203.821656,3875312101.910828,3576523566.878981,6430150955.414013,36607095541.40128,50150575159.23566,64917449681.52866,16293719745.22293,19123422929.9363,23935845859.87261,12087008280.25478,21804105732.48408,30015670700.63694,13050539490.44586,21677997452.2293,31475571974.52229
26,26,0,0.0,0,0.0,0,0.0,0.0,0.0,5135668.789808917,6840764.33121019,8225477.707006369,5135668.789808917,6840764.33121019,8548407.643312102,2865605.095541401,7105732.484076433,7364331.210191082,20992356.68789809,25324840.76433121,26619108.28025478,12738.85350318471,12738.85350318471,12738.85350318471,8580891.719745222,10424840.76433121,10512738.85350318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1618471.337579618,17469426.75159236,21740764.33121019,23036305.73248408,17547133.75796178,21740764.33121019,24654777.07006369,219357961.7834395,322068789.8089172,338724840.7643312,216583439.4904459,319233757.9617834,337096178.343949,1103821.656050955,2525477.707006369,571337.5796178344,2774522.29299363,2835031.847133758,1628662.420382166
27,27,0,0.0,0,0.0,0,31210.19108280255,27388.53503184713,23566.87898089172,1565348407.643312,2129510828.025478,2015802547.7707,1870477707.006369,3012166878.980892,3065973885.350318,2594122292.99363,43294445222.92993,54334001273.88535,2618486624.203822,64617382802.54777,78130149681.52866,168433121.0191083,436273248.4076433,436273248.4076433,-1581696815.286624,1553147133.757962,895540764.3312101,99336305.73248409,7072044585.987261,9359010191.082802,244973885.3503185,61013635668.78981,47630438853.50318,311564331.2101911,0.0,0.0,5507407006.369427,4753982802.547771,32405974522.29299,5825687261.146497,5062766878.980891,32670143949.04458,209166242.0382166,6156610828.025477,16295731210.19108,103034394.9044586,6252534394.904458,16695137579.61783,-91138216.56050956,1834023566.878981,-742945859.8726114,106131847.133758,-95923566.87898088,-399406369.4267516
28,28,747,113.7,25,33692930.51592357,50,514051592.3566879,1021242675.159236,1061146496.815287,83233523566.87898,82813414012.73885,88735031847.13376,164306427388.535,182117920382.1656,208668152866.242,85385461783.43948,93039756687.89809,80466878980.89172,178260553503.1847,174904690445.8599,159768152866.242,3817342038.21656,3817342038.21656,3817197452.229299,200697600636.9426,216752536305.7325,214080891719.7452,60904296815.28662,50550113375.79617,53545859872.61147,68136008917.19745,57529963694.26752,60552229299.36305,13246255414.01274,16153491082.80255,13900636942.67516,57210098089.17197,63737851592.35668,75387261146.49681,73733371337.57962,82740110828.02547,93803184713.3758,213527514012.7388,262297114012.7388,314540764331.2102,151609018471.3376,190734133121.0191,211112738853.5032,30137970063.69427,78110416560.50955,86884076433.12102,36219045859.87261,43613075159.23566,72423566878.9809
29,29,7,2.538461538461538,2,8475172.369426752,13,809554.1401273885,809554.1401273885,809554.1401273885,4119698726.114649,3927572611.464968,3885291082.802548,4809162420.382165,4207386624.203822,4086118471.337579,381067515.9235669,434178980.8917197,781038853.5031847,986424840.7643312,3108114649.681529,2769724840.764331,70700.63694267516,70700.63694267516,70700.63694267516,4438458598.726114,5778691719.745223,4930156050.955414,0.0,0.0,0.0,675217834.3949044,670454140.1273885,540747133.7579618,0.0,0.0,0.0,488304458.5987261,593294267.5159235,1143150318.471338,681910828.0254776,866355414.0127388,1384940127.388535,5462547133.757961,7870604458.598726,10273759872.61146,5523452866.242038,5909908917.197452,6478064331.210191,-536863694.2675159,1511408280.254777,3624538216.560509,-380491082.8025478,1595211464.968153,3359602547.7707
30,30,12,2.730769230769231,2,683851.8152866242,26,63756687.89808917,732559872.611465,829040127.388535,38338143949.04459,94061152866.24203,97145986624.2038,46793198726.11465,101224894267.5159,107931216560.5096,3012760509.55414,15688975159.23567,22601311464.96815,9879287261.146496,31568155414.01274,41704089171.97452,1452866.242038216,1452866.242038216,2325477.707006369,30110000636.94268,65333345859.87261,77489906369.42674,6635971337.579618,36045082165.60509,32834063694.26752,8024546496.815287,39778434394.90446,37155240764.33121,11693385350.31847,16397427388.53503,23273921019.10828,6370090445.859873,10406973248.40764,10992786624.20382,18537938853.50319,27681269426.75159,34990158598.72611,65559140127.38853,66447707643.3121,129478640127.3885,29102135031.84713,38491043312.10191,74991734394.90445,29283493630.57325,16777005732.48408,25042575159.23567,29219876433.12102,19090301273.88535,34958696178.34395
