Наименование ДП,Факт. 1,Факт. 2,Факт. 3,Факт. 4,Факт. 5,Факт. 6,Факт. 7,Факт. 8,Факт. 9,Факт. 10,Факт. 11,Факт. 12,Факт. 13,Факт. 14,Факт. 15,Факт. 16,Факт. 17,Факт. 18,Факт. 19,Факт. 20,Факт. 21,Факт. 22,Факт. 23,Факт. 24,Факт. 25,Факт. 26,Факт. 27,Факт. 28,Факт. 29,Факт. 30,Факт. 31,Факт. 32,Факт. 33,Факт. 34,Факт. 35,Факт. 36,Факт. 37,Факт. 38,Факт. 39,Факт. 40,Факт. 41,Факт. 42,Факт. 43,Факт. 44,Факт. 45,Факт. 46,Факт. 47,Факт. 48,Факт. 49,Факт. 50,Факт. 51,Факт. 52,Факт. 53,Факт. 54,Факт. 55,Факт. 56,Факт. 57,Факт. 58,Факт. 59,Факт. 60,Итого,"Макс. ПДЗ за 2020 год, дней","Сред. ПДЗ за 2020 год, дней","Кол-во просрочек свыше 5-ти дней за 2020 год, шт.","Общая сумма ПДЗ свыше 5-ти дней за 2020 год, руб.","Кол-во раз ПДЗ за 2020 год, шт.","2016, Нематериальные активы, RUB","2017, Нематериальные активы, RUB","2018, Нематериальные активы, RUB","2019, Нематериальные активы, RUB","2016, Основные средства , RUB","2017, Основные средства , RUB","2018, Основные средства , RUB","2019, Основные средства , RUB","2016, Внеоборотные активы, RUB","2017, Внеоборотные активы, RUB","2018, Внеоборотные активы, RUB","2019, Внеоборотные активы, RUB","2016, Дебиторская задолженность, RUB","2017, Дебиторская задолженность, RUB","2018, Дебиторская задолженность, RUB","2019, Дебиторская задолженность, RUB","2016, Оборотные активы, RUB","2017, Оборотные активы, RUB","2018, Оборотные активы, RUB","2019, Оборотные активы, RUB","2016, Уставный капитал , RUB","2017, Уставный капитал , RUB","2018, Уставный капитал , RUB","2019, Уставный капитал , RUB","2016, Капитал и резервы, RUB","2017, Капитал и резервы, RUB","2018, Капитал и резервы, RUB","2019, Капитал и резервы, RUB","2016, Заёмные средства (долгосрочные), RUB","2017, Заёмные средства (долгосрочные), RUB","2018, Заёмные средства (долгосрочные), RUB","2019, Заёмные средства (долгосрочные), RUB","2016, Долгосрочные обязательства, RUB","2017, Долгосрочные обязательства, RUB","2018, Долгосрочные обязательства, RUB","2019, Долгосрочные обязательства, RUB","2016, Заёмные средства (краткосрочные), RUB","2017, Заёмные средства (краткосрочные), RUB","2018, Заёмные средства (краткосрочные), RUB","2019, Заёмные средства (краткосрочные), RUB","2016, Кредиторская задолженность, RUB","2017, Кредиторская задолженность, RUB","2018, Кредиторская задолженность, RUB","2019, Кредиторская задолженность, RUB","2016, Краткосрочные обязательства, RUB","2017, Краткосрочные обязательства, RUB","2018, Краткосрочные обязательства, RUB","2019, Краткосрочные обязательства, RUB","2016, Выручка, RUB","2017, Выручка, RUB","2018, Выручка, RUB","2019, Выручка, RUB","2016, Себестоимость продаж, RUB","2017, Себестоимость продаж, RUB","2018, Себестоимость продаж, RUB","2019, Себестоимость продаж, RUB","2016, Прибыль (убыток) до налогообложения , RUB","2017, Прибыль (убыток) до налогообложения , RUB","2018, Прибыль (убыток) до налогообложения , RUB","2019, Прибыль (убыток) до налогообложения , RUB","2016, Прибыль (убыток) от продажи, RUB","2017, Прибыль (убыток) от продажи, RUB","2018, Прибыль (убыток) от продажи, RUB","2019, Прибыль (убыток) от продажи, RUB"
73,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,10.0,6,5.5,1,0.0063694267515923,2,0.0,0.0,0.0,0.0,1196178.343949045,952229.2993630572,2333121.01910828,515923.5668789809,11142038.21656051,11095541.40127389,14365605.0955414,13963694.26751592,39982165.60509554,45837579.6178344,44724203.82165605,42385350.31847133,180743312.1019108,194496815.2866242,216436942.6751592,200654777.0700637,6369.426751592357,6369.426751592357,6369.426751592357,6369.426751592357,12343312.10191083,15273885.35031847,17682165.60509554,20059235.66878981,6075796.178343949,0.0,0.0,0.0,6075796.178343949,0.0,0.0,0.0,0.0,9948407.643312102,10764968.15286624,12845222.9299363,172505732.4840764,178863057.3248408,200627388.5350318,181656050.955414,173466242.0382166,190318471.3375796,213120382.1656051,194559235.6687898,155951592.3566879,156979617.8343949,166239490.4458599,187415286.6242038,145286624.2038217,145798726.1146497,157790445.8598726,158093630.5732484,2901273.885350318,3663694.267515923,3010828.025477707,3057961.78343949,2993630.573248408,3897452.229299362,3144585.987261146,3163694.267515924
74,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,20.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,70459235.6687898,169744585.9872611,159345222.9299363,159258598.7261146,171355414.0127389,170325477.7070064,159926114.6496815,159400000.0,50501910.82802548,21964968.15286624,19152229.29936305,60727388.53503185,310288535.0318471,292556687.8980892,293774522.2929936,308699363.0573248,4084076.433121019,4084076.433121019,4084076.433121019,4084076.433121019,292397452.2292994,285798726.1146497,274370063.6942675,275411464.9681529,0.0,78375796.17834395,81870063.69426751,81938216.56050955,0.0,78375796.17834395,81870063.69426751,81938216.56050955,78375796.17834395,0.0,0.0,4704458.598726114,110246496.8152866,98707643.3121019,97460509.55414012,105987898.089172,189246496.8152866,98707643.3121019,97460509.55414012,110749681.5286624,402765605.0955414,351183439.4904459,323570063.6942675,372086624.2038217,385464968.1528662,342184076.433121,319524203.821656,353993630.5732484,4154140.127388535,2141401.27388535,2186624.203821656,3442675.159235669,12521019.10828026,6006369.426751592,-7614012.738853503,2377070.063694268
75,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,20.0,8,3.0,2,1129246.72611465,8,429299.3630573248,7385987.261146497,30765605.0955414,37177707.00636943,794807643.3121018,761306369.4267516,784116560.5095541,818569426.7515923,1579137579.617834,1551543312.101911,1760256050.955414,1846902547.7707,1491815286.624204,2058642038.21656,1940269426.751592,2468433121.019108,2785635668.789809,3829329936.305732,4438904458.598726,5403572611.464968,31847133.75796178,31847133.75796178,31847133.75796178,31847133.75796178,3302824840.764331,4097377707.006369,4744210191.082803,5680089808.917197,265019745.2229299,235445222.9299363,401273885.3503184,0.0,314551592.3566879,282414012.7388535,449545222.9299363,44854140.12738854,36571974.52229299,236191719.7452229,130035031.8471338,245810191.0828025,685335668.7898089,741393630.5732484,846056050.9554139,1245415286.624204,747396815.2866242,1001081528.66242,1005405095.541401,1525531210.191083,7323449681.528662,9147256687.898088,10922433757.96178,11267628025.47771,4657027388.535031,5491475796.178344,6758812101.910828,6878654777.070064,1267823566.878981,1864675159.235669,2020828025.477707,2049187898.089172,1258648407.643312,1925329936.305732,2091141401.273885,2074908917.197452
76,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,10.0,12,2.663366336633664,10,3879395.942675158,101,0.0,0.0,359235.6687898089,9837579.617834397,468155414.0127388,661880891.7197452,616203821.6560509,825256050.9554139,495883439.4904459,778760509.5541401,760229936.3057325,1022517834.394904,486001910.8280255,371696178.343949,582248407.6433121,429419108.2802548,1067814649.681529,1145081528.662421,1346007006.369427,1280463694.267516,6369.426751592357,6369.426751592357,6369.426751592357,6369.426751592357,1411722929.936306,1808572611.464968,1936180891.719745,2044035668.789809,0.0,0.0,0.0,0.0,17810828.02547771,24393630.57324841,27517197.4522293,34464968.15286624,0.0,0.0,0.0,0.0,134164331.2101911,90875796.17834397,142538853.5031847,224480891.7197452,134164331.2101911,90875796.17834397,142538853.5031847,224480891.7197452,2246554140.127388,2473796178.343949,2683608917.197452,2438454140.127388,1562211464.968153,1680226751.592357,1914205732.484076,1920744585.987261,420640127.388535,479386624.2038217,392770063.6942675,132690445.8598726,414273885.3503184,461408280.2547771,368666878.9808917,107233121.0191083
77,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,10.0,4,3.0,0,0.0,3,26884713.37579618,16808280.25477707,13479617.8343949,3282802.5477707,4614825477.707006,4312389808.917197,4147471337.579618,4410605732.484076,5035728662.420382,4722331847.133758,4592808917.197452,4954609554.140127,884869426.7515923,1752231210.191083,2866534394.904459,1179942675.159236,2256135031.847134,3323552866.242038,4334442675.159236,2762040127.388535,257452229.299363,257452229.299363,257452229.299363,257452229.299363,6513000000.0,6781628025.477707,7241884713.375796,6152143949.044586,0.0,0.0,0.0,0.0,306570700.6369427,309531210.1910828,285495541.4012738,290913375.7961783,0.0,0.0,0.0,0.0,408212738.8535032,900593630.5732484,1341980891.719745,1208349044.585987,472292993.6305732,954725477.7070065,1399871337.579618,1273592356.687898,9407311464.968151,7583049044.585987,9766302547.7707,8375794904.458598,5094367515.923567,6592471337.579618,7809207006.369427,7127007006.369427,3497166242.038217,362030573.2484076,1746663694.267516,584037579.6178343,3767089171.974522,440131847.133758,1397632484.076433,597452866.2420382
78,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,30,Х,Х,Х,Х,Х,Х,Х,Х,Х,20,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,10,10,80.0,16,3.725,9,5073354.414012739,40,10828.02547770701,5095.541401273885,0.0,41401.27388535032,292540127.388535,223443312.1019108,295549681.5286624,281377707.0063694,354842675.1592357,310336305.732484,408842038.2165605,376612738.8535032,1396928025.477707,1730320382.165605,1620497452.229299,1575643949.044586,1931313375.796178,2260191719.745223,2213310191.082802,2017207006.369427,185414012.7388535,185414012.7388535,185414012.7388535,185414012.7388535,522426114.6496815,346649681.5286624,156972611.4649681,348269426.7515923,495640764.3312102,504981528.6624203,582662420.3821656,508456050.955414,502828025.477707,510194267.5159236,589551592.3566879,515005732.4840765,92829299.36305732,100908917.1974522,107035668.7898089,76212101.91082802,1164266242.038217,1607873248.407643,1762137579.617834,1447456687.898089,1260901910.828025,1713684076.433121,1875627388.535032,1530544585.987261,3167326751.592357,3725823566.878981,3676485987.261147,3619032484.076433,3041956687.898089,3557816560.509554,3527187898.089172,3528735031.847134,278165605.0955414,-204026751.5923567,-222906369.4267516,244512101.910828,66241401.27388535,45601273.88535032,105183439.4904458,56442675.15923566
79,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,30,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,10,Х,Х,Х,Х,Х,40.0,0,0.0,0,0.0,0,0.0,0.0,0.0,450955.4140127389,2778202547.7707,2379948407.643312,2144082165.605096,2424663057.324841,2940882802.547771,2486619745.22293,2205156687.898089,2533359235.66879,3997707643.312102,4445219108.280254,4138320382.165605,2255790445.859872,6694777070.063694,7303543312.101911,6128445859.872611,3048698089.171974,979530573.2484076,979530573.2484076,979530573.2484076,979530573.2484076,3084982802.547771,7691010191.082802,7179311464.968153,4507063694.267516,0.0,0.0,0.0,0.0,189177707.0063694,149050318.4713376,127489171.9745223,105500000.0,4388464968.152866,7052866.242038216,0.0,214755414.0127389,1898878343.949044,1852539490.44586,954787898.089172,655999363.0573248,6361499363.057324,1950102547.7707,1026801910.828026,969493630.5732484,20306063057.32484,22055826751.59236,19781476433.12102,16110693630.57325,13933675796.17834,15266984713.3758,15798952229.29936,14584982165.6051,3508435668.789809,4959513375.796178,3148999363.057325,610201910.8280255,4705394267.515924,4930774522.292994,2856365605.095541,589951592.3566879
80,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,20.0,0,0.0,0,0.0,0,52866.24203821656,63694.26751592357,364968.1528662421,635031.8471337579,613188535.0318471,588278980.8917197,524404458.5987261,479896815.2866242,614676433.1210191,594047770.7006369,530475796.178344,486721656.0509554,267740764.3312102,438785987.2611465,279575796.178344,415914649.6815286,653501910.8280255,835183439.4904459,965456050.955414,1230747133.757962,20994267.51592357,20994267.51592357,20994267.51592357,20994267.51592357,573075159.2356688,790796178.343949,814196815.2866242,853178343.9490446,483729936.3057325,466213375.7961784,436545222.9299363,514150318.4713376,494861783.4394904,475144585.9872611,446809554.1401274,523887898.089172,3271337.579617834,9003184.713375796,63585350.31847133,169077070.0636943,196970063.6942675,154287261.1464968,171340127.388535,171325477.7070064,200241401.2738853,163290445.8598726,234925477.7070064,340402547.7707006,869956050.9554139,1311080891.719745,1665781528.662421,2199874522.292993,720556050.9554139,1087268789.808917,1434085987.261146,1872435031.847134,12796178.34394904,35349681.52866242,54222929.93630573,74197452.22929937,65845222.92993631,114564331.2101911,94357961.78343949,145187898.089172
81,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,10.0,14,5.14406779661017,50,10057839.01273885,118,0.0,0.0,0.0,0.0,126168789.8089172,116460509.5541401,105722929.9363057,87657324.84076433,158852229.299363,147994267.5159236,133078343.9490446,88636305.73248407,35199363.05732484,41267515.92356688,57244585.98726115,53694267.51592357,198066242.0382166,188243312.1019108,163865605.0955414,160552229.299363,19108.28025477707,19108.28025477707,19108.28025477707,19108.28025477707,265419745.2229299,246394904.4585987,218630573.2484076,178806369.4267516,7368152.866242038,7368152.866242038,7368152.866242038,8960509.554140126,17177070.06369427,15765605.0955414,14286624.20382166,17498089.17197452,0.0,0.0,0.0,0.0,57477707.00636943,63689171.97452229,57186624.20382165,46124203.82165605,74321656.05095541,74077070.06369427,64026751.59235668,52884076.43312102,683038216.5605096,646563694.2675159,553635668.7898089,409529936.3057325,641889808.9171975,623279617.8343949,562763057.3248408,400868789.8089172,-18826114.64968153,-20436305.73248408,-29243312.10191083,-38205732.48407643,-17679617.8343949,-21227388.53503185,-38935668.78980891,-16529299.36305732
82,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,20.0,44,11.43055555555556,40,16487434.73248407,72,0.0,0.0,0.0,0.0,22084713.37579618,21375796.17834395,22716560.50955414,30518471.33757961,22905095.54140127,22196178.34394904,23536942.67515923,31338853.50318472,4882802.5477707,4284076.433121019,6045222.929936306,7764331.210191082,68136942.67515923,76697452.22929937,89957324.84076433,100603184.7133758,1592356.687898089,1592356.687898089,1592356.687898089,1592356.687898089,22583439.49044586,23036942.67515923,23696815.2866242,24552866.24203822,50955414.01273885,58643312.10191082,58005095.54140128,54025477.70700637,50955414.01273885,58643312.10191082,58005095.54140128,54025477.70700637,3636305.732484076,3936305.732484076,4060509.554140127,4118471.337579618,12314012.7388535,11620382.16560509,25503821.65605096,46961783.43949044,17503184.7133758,17213375.79617834,31792356.68789809,53363694.26751592,198055414.0127389,182801910.8280254,221194267.5159236,263137579.6178344,158650955.4140127,147722929.9363057,186721019.1082802,228563694.267516,578980.8917197452,506369.4267515923,824203.821656051,1070063.694267516,8398089.171974521,5894904.458598725,4573885.350318471,4752229.299363057
83,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,10.0,3,1.714285714285714,0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,67416560.50955413,70361783.43949044,0.0,0.0,68480891.71974522,71892993.63057324,0.0,0.0,50907643.31210191,38229936.30573248,0.0,0.0,109888535.0318471,110737579.6178344,0.0,0.0,6369.426751592357,6369.426751592357,0.0,0.0,6294267.515923566,11333121.01910828,0.0,0.0,75740127.38853502,102394904.4585987,0.0,0.0,76656050.95541401,103806369.4267516,0.0,0.0,40095541.40127389,11082802.5477707,0.0,0.0,55323566.87898089,56408280.25477707,0.0,0.0,95419108.28025477,67491082.80254777,0.0,0.0,462431847.133758,433192993.6305732,0.0,0.0,419747133.7579618,388117834.3949044,0.0,0.0,5396815.286624203,6186624.203821655,0.0,0.0,18283439.49044586,19589808.91719745
84,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,10,10,30.0,18,5.111111111111111,6,16237424.33757962,18,3126233121.019108,6320582802.547771,7549617834.394904,8820049044.585987,218817969426.7516,230736238853.5032,238227743949.0446,227585862420.3822,407131275159.2357,425016798726.1146,471804782165.6051,476193439490.4459,28475909554.14013,27570611464.96815,39324887261.14649,136245812101.9108,203695345222.93,142983777070.0637,171846727388.535,340814407006.3694,100792993.6305732,100792993.6305732,100792993.6305732,100792993.6305732,143228710191.0828,158560773885.3503,124130076433.121,222086108917.1974,273531671974.5223,280012682802.5477,362811883439.4904,336050343312.1019,326087568789.8089,324104252229.2994,402121008917.1975,362363974522.293,54132431210.19108,45444437579.61784,75638351592.35669,114479791082.8025,80227992993.63057,31981811464.96815,32781867515.92356,108606753503.1847,141510341401.2739,85335549681.52866,117400424203.8217,232557763057.3248,269317725477.707,290395666878.9809,387937496178.3439,559327575159.2356,108029439490.4459,119211626751.5924,151626681528.6624,185924177707.0063,106177859872.6115,110210540127.3885,134955683439.4904,398315826114.6497,139357328662.4204,148351361783.4395,209145149044.586,342085019108.2802
85,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,20.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,264662420.3821656,343903821.6560509,238977707.0063694,154051592.3566879,265732484.0764331,344918471.3375796,240349044.5859872,155066242.0382166,176617834.3949045,225788535.0318471,157870700.6369427,480954777.0700637,788784713.3757962,811716560.5095541,707700636.9426751,880819745.22293,31852866.24203822,6369426.751592357,6369426.751592357,6369426.751592357,447111464.9681528,495917197.4522293,564952866.2420382,677103184.7133758,234650318.4713376,153117197.4522293,157889171.9745223,23035031.84713376,234793630.5732484,153400000.0,158281528.6624204,23317834.39490446,21198089.17197452,230515923.566879,25553503.18471337,61200636.94267516,347244585.9872611,267626751.5923567,189373248.4076433,264275159.2356688,372612101.910828,507317834.3949044,224814012.7388535,335464968.1528662,2216077070.063694,2010313375.796178,1827001273.88535,2090230573.248408,2027243949.044586,1896526114.649682,1609126114.649682,1808095541.401273,142714649.6815287,93579617.8343949,88595541.40127388,141611464.9681529,188833121.0191083,113787261.1464968,156847133.7579618,219954140.1273885
86,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,30,Х,30,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,70.0,12,4.463414634146342,14,4697174.414012738,41,0.0,0.0,0.0,0.0,11092993.63057325,9619745.222929936,7900000.0,8693630.573248407,11092993.63057325,9619745.222929936,7900000.0,8693630.573248407,7957324.840764331,8126751.592356687,11512101.91082802,10043949.04458599,22079617.83439491,21674522.29299363,24855414.01273885,22275796.17834395,6369.426751592357,6369.426751592357,108280.2547770701,108280.2547770701,23840127.38853503,24005095.54140127,24429936.30573248,22643949.04458599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1420382.165605095,3222292.993630573,3280891.719745223,4794267.515923567,7912101.910828025,4066878.98089172,5044585.987261146,3531210.191082803,9332484.07643312,7289171.974522293,8325477.707006369,8325477.707006369,68235031.84713376,21948407.6433121,15466242.03821656,16934394.9044586,64961146.49681529,24143312.10191083,17919108.28025478,20066878.98089172,3120382.165605095,305095.5414012739,526114.6496815287,-1750318.47133758,3273885.350318471,-2194904.458598726,-2452866.242038216,-3132484.076433121
87,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,20.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,18987898.08917197,42706369.42675159,31326751.59235669,3452866.242038216,18987898.08917197,42706369.42675159,31326751.59235669,3452866.242038216,316112738.8535032,403884076.433121,456459872.611465,479515923.566879,547173248.4076433,647854777.0700637,815444585.987261,689722929.9363058,266242.0382165605,266242.0382165605,266242.0382165605,266242.0382165605,40465605.0955414,40801910.82802548,43149681.52866242,47191082.80254777,75763694.26751593,67026751.59235668,68475796.17834395,1596815.286624204,75763694.26751593,99263057.32484075,92836942.67515925,3750955.414012739,1150318.47133758,1314649.681528662,1364331.210191083,1396178.343949045,448781528.6624204,549181528.6624204,709420382.1656051,640837579.6178343,449931847.133758,550496178.3439491,710784713.3757962,642233757.9617834,1489192356.687898,2049635031.847134,2431775159.235669,1866258598.726115,1293411464.968153,1823135668.789809,2139735031.847134,1657284713.375796,597452.229299363,891719.7452229299,2963057.324840764,5183439.49044586,3547133.757961783,7371337.579617834,26045859.87261146,11687261.14649682
88,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,10.0,0,0.0,0,0.0,0,501273.8853503185,540764.331210191,998726.1146496816,1261783.439490446,7551082165.605095,7454333121.019108,9500658598.726114,9414731210.191082,8516941401.273885,9108188535.031849,11206163694.26752,11173345222.92994,2405111464.968153,2573361146.496815,2419133121.019108,3043700000.0,7934209554.140127,7975200000.0,7642742675.159235,11375396178.34395,1040534394.904458,1040534394.904458,1040534394.904458,1202662420.382166,11962682802.54777,13245277707.00637,16648570063.69427,18212929299.36306,0.0,0.0,0.0,0.0,1253724203.821656,1385933757.961783,728167515.9235668,1091622292.993631,0.0,0.0,0.0,0.0,2489976433.121019,1937614649.681529,1139164331.210191,2816288535.031847,3234743949.044586,2452177070.063694,1472168789.808917,3244189808.917197,8867304458.598726,8609212738.853502,8868619108.280254,10422535668.78981,6202935031.847134,5671654777.070064,5698790445.859873,6681923566.878981,1931241401.273885,1653545859.872611,2296255414.012739,1988716560.509554,1822353503.184713,2087952229.299363,2277936942.675159,2784455414.012739
89,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,10.0,27,4.636363636363637,2,2387003.52866242,11,1739490.445859873,150615286.6242038,208118471.3375796,185642675.1592357,1763057.324840765,4753503.184713376,10760509.55414013,22833121.01910828,51436942.67515923,250275796.178344,321061783.4394904,432747770.7006369,1324800636.942675,1279415286.624204,1525047133.757962,2282024203.821656,1836548407.643312,1802382165.605096,2022352866.242038,2675511464.968153,6369.426751592357,6369.426751592357,12738.85350318471,12738.85350318471,1239575796.178344,1252850318.471338,1250264968.152866,1188849044.585987,0.0,0.0,0.0,12025477.70700637,138216.5605095541,190445.8598726114,224840.7643312102,12278343.94904458,176542038.2165605,186742038.2165605,462004458.5987261,851435668.7898089,466926114.6496815,606337579.6178343,613883439.4904459,1016687261.146497,648271337.5796179,799617197.4522293,1092924840.764331,1907131847.133758,4217315286.624204,4396191719.745223,5237839490.44586,5071382165.605095,3825071337.579618,3887860509.55414,4367904458.598726,4398070063.694267,67042675.15923566,120919745.2229299,123889808.9171974,40261783.43949044,90219745.22292994,203757324.8407643,275915923.566879,13578980.89171974
